Sr. No.,Assigned To,Company Name,Website,Website Verified,Scan Completed,Screenshot Taken,Wave AIM Score,Axe Score,LH Score,Screenshot link,Contact Person 1,Designation 1,Email ID 1,Contact Person 2,Designation 2,Email ID 2
"429","Unassigned","Graphite India Ltd","https://graphiteindia.com","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Graphite_India_Ltd/screenshots/Graphite_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Graphite India Ltd)","Company Secretary & Compliance Officer","info@graphiteindia.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@graphiteindia.com"
"430","Unassigned","Empire Industries Ltd","https://empireflippers.com","Yes","Yes","Yes","1 out of 10","52","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Empire_Industries_Ltd/screenshots/Empire_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Empire Industries Ltd)","Company Secretary & Compliance Officer","sales@empireflippers.com","General Contact Email","Managing Director / CEO","sales@empireflippers.com"
"431","Unassigned","Garware Technical Fibres Ltd","https://garwarefibres.com","Yes","Yes","Yes","1 out of 10","30","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Garware_Technical_Fibres_Ltd/screenshots/Garware_Technical_Fibres_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Garware Technical Fibres Ltd)","Company Secretary & Compliance Officer","sales@garwarefibres.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","sales@garwarefibres.com"
"432","Unassigned","Garware Marine Industries Ltd","https://garwaremarine.com","Yes","Yes","Yes","5 out of 10","7","72","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Garware_Marine_Industries_Ltd/screenshots/Garware_Marine_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Garware Marine Industries Ltd)","Company Secretary & Compliance Officer","Garware.marine@gmail.com","General Contact Email","Managing Director / CEO","Garware.marine@gmail.com"
"433","Unassigned","Goa Carbon Ltd","https://goacarbon.com","Yes","No","No","6.3 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Goa_Carbon_Ltd/screenshots/Goa_Carbon_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Goa Carbon Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"434","Unassigned","Hardcastle & Waud Manufacturing Company Ltd","https://hardcastleshober.com","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Hardcastle___Waud_Manufacturing_Company_Ltd/screenshots/Hardcastle___Waud_Manufacturing_Company_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Hardcastle & Waud Manufacturing Company Ltd)","Company Secretary & Compliance Officer","info@hardcastleshober.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@hardcastleshober.com"
"435","Unassigned","HEG Ltd","https://hegltd.com","Yes","No","No","7 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/HEG_Ltd/screenshots/HEG_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (HEG Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"436","Unassigned","Hindustan Composites Ltd","https://hindcompo.com","Yes","Yes","Yes","6.3 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Hindustan_Composites_Ltd/screenshots/Hindustan_Composites_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Hindustan Composites Ltd)","Company Secretary & Compliance Officer","sales@hindcompo.com","General Contact Email","Managing Director / CEO","sales@hindcompo.com"
"437","Unassigned","Indian Card Clothing Company Ltd","https://cardindia.com","Yes","Yes","Yes","1 out of 10","25","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Indian_Card_Clothing_Company_Ltd/screenshots/Indian_Card_Clothing_Company_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Indian Card Clothing Company Ltd)","Company Secretary & Compliance Officer","info@cardindia.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@cardindia.com"
"438","Unassigned","International Conveyors Ltd","https://iclbelting.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/International_Conveyors_Ltd/screenshots/International_Conveyors_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (International Conveyors Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"439","Unassigned","Jay Shree Tea & Industries Ltd","https://jayshreetea.com","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Jay_Shree_Tea___Industries_Ltd/screenshots/Jay_Shree_Tea___Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Jay Shree Tea & Industries Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"440","Unassigned","Mapro Industries Ltd","https://maprogress.com","Yes","Yes","Yes","7 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Mapro_Industries_Ltd/screenshots/Mapro_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Mapro Industries Ltd)","Company Secretary & Compliance Officer","info@maprogress.com","General Contact Email","Managing Director / CEO","info@maprogress.com"
"441","Unassigned","RJ Shah & Company Ltd","https://rjshahidshah.com","Yes","Yes","Yes","1 out of 10","15","40","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/RJ_Shah___Company_Ltd/screenshots/RJ_Shah___Company_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (RJ Shah & Company Ltd)","Company Secretary & Compliance Officer","micah@micahrich.com","General Contact Email","Managing Director / CEO","micah@micahrich.com"
"442","Unassigned","Shalimar Paints Ltd","https://shalimarpaints.com","Yes","Yes","Yes","6.3 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Shalimar_Paints_Ltd/screenshots/Shalimar_Paints_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Shalimar Paints Ltd)","Company Secretary & Compliance Officer","info@shalimarpaints.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@shalimarpaints.com"
"443","Unassigned","Hindoostan Mills Ltd","https://hindoostan.com","Yes","No","No","6.3 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Hindoostan_Mills_Ltd/screenshots/Hindoostan_Mills_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Hindoostan Mills Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"444","Unassigned","Supreme Industries Ltd","https://supremecourt.gov","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Supreme_Industries_Ltd/screenshots/Supreme_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Supreme Industries Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"445","Unassigned","Thacker & Company Ltd","https://600thackerofficesfl.com","Yes","Yes","Yes","9.1 out of 10","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Thacker___Company_Ltd/screenshots/Thacker___Company_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Thacker & Company Ltd)","Company Secretary & Compliance Officer","info@600thackerofficesfl.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@600thackerofficesfl.com"
"446","Unassigned","Trade Wings Ltd","https://tradewings.in","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Trade_Wings_Ltd/screenshots/Trade_Wings_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Trade Wings Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"447","Unassigned","VST Industries Ltd","https://vstu.ru","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/VST_Industries_Ltd/screenshots/VST_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (VST Industries Ltd)","Company Secretary & Compliance Officer","info@vstu.ru","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@vstu.ru"
"448","Unassigned","Swasti Vinayaka Synthetics Ltd","https://swastivinayaka.com","Yes","Yes","Yes","9.1 out of 10","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Swasti_Vinayaka_Synthetics_Ltd/screenshots/Swasti_Vinayaka_Synthetics_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Swasti Vinayaka Synthetics Ltd)","Company Secretary & Compliance Officer","info@swastivinayaka.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@swastivinayaka.com"
"449","Unassigned","Msl Global Ltd","https://mslglobal.com","Yes","Yes","Yes","1 out of 10","16","36","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Msl_Global_Ltd/screenshots/Msl_Global_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Msl Global Ltd)","Company Secretary & Compliance Officer","info@mslglobal.com","General Contact Email","Managing Director / CEO","info@mslglobal.com"
"450","Unassigned","Premier Capital Services Ltd","https://premierleague.com","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Premier_Capital_Services_Ltd/screenshots/Premier_Capital_Services_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Premier Capital Services Ltd)","Company Secretary & Compliance Officer","info@premierleague.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@premierleague.com"
"451","Unassigned","Jindal Drilling & Industries Ltd","https://jindaldrilling.com","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Jindal_Drilling___Industries_Ltd/screenshots/Jindal_Drilling___Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Jindal Drilling & Industries Ltd)","Company Secretary & Compliance Officer","info@jindaldrilling.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@jindaldrilling.com"
"452","Unassigned","Jumbo Finance Ltd","https://jumbo.com","Yes","Yes","Yes","8.5 out of 10","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Jumbo_Finance_Ltd/screenshots/Jumbo_Finance_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Jumbo Finance Ltd)","Company Secretary & Compliance Officer","info@jumbo.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@jumbo.com"
"453","Unassigned","Sakthi Finance Ltd","https://sakthicadd.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Sakthi_Finance_Ltd/screenshots/Sakthi_Finance_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Sakthi Finance Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"454","Unassigned","Aeroflex Enterprises Ltd","https://aeroflex.co.il","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Aeroflex_Enterprises_Ltd/screenshots/Aeroflex_Enterprises_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Aeroflex Enterprises Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"455","Unassigned","JMD Ventures Ltd","https://jmdventures.ca","Yes","No","No","7 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/JMD_Ventures_Ltd/screenshots/JMD_Ventures_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (JMD Ventures Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"456","Unassigned","Shiva Texyarn Ltd","https://shivatex.in","Yes","No","No","7 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Shiva_Texyarn_Ltd/screenshots/Shiva_Texyarn_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Shiva Texyarn Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"457","Unassigned","First Custodian Fund India Ltd","https://firstcustodianfund.com","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/First_Custodian_Fund_India_Ltd/screenshots/First_Custodian_Fund_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (First Custodian Fund India Ltd)","Company Secretary & Compliance Officer","info@firstcustodianfund.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@firstcustodianfund.com"
"458","Unassigned","Axis Solutions Ltd","https://axisbank.com","Yes","Yes","Yes","1 out of 10","20","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Axis_Solutions_Ltd/screenshots/Axis_Solutions_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Axis Solutions Ltd)","Company Secretary & Compliance Officer","PNO@axis.bank.in","Investor Grievance / Compliance Officer Email","Managing Director / CEO","PNO@axis.bank.in"
